name,key_city,city,url,rating,description,nb_visit
L'Hôtel Particulier Ascott,saint malo,"Saint-Servan, Saint-Malo",https://www.booking.com/hotel/fr/ascott.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from=searchresults#hotelTmpl,"9,1","2,3 km du centrePlage à proximitéÀ 450 m de la plageEntièrement rénové, l'établissement L'Hôtel Particulier Ascott occupe un ancien manoir du XIXe siècle, situé dans le quartier résidentiel de Saint-Servan, à l'embouchure de la Rance",1 075
Hôtel Le Nautilus,saint malo,"Intra muros, Saint-Malo",https://www.booking.com/hotel/fr/le-nautilus.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,1",150 m du centrePlage à proximitéÀ 100 m de la plageNiveau 2 Voyage DurableL'Hôtel Le Nautilus occupe un bâtiment rénové du XVIIe siècle situé dans la ville fortifiée de Saint-Malo,827
Hôtel La Villefromoy,saint malo,"Paramé, Saint-Malo",https://www.booking.com/hotel/fr/lavillefromoysainmalo.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9","2,8 km du centreFront de merNiveau 2 Voyage DurableImplanté dans un quartier résidentiel en bord de mer à Saint-Malo, l'Hôtel La Villefromoy occupe une jolie demeure de caractère",1 954
Château Hôtel Du Colombier,saint malo,Saint-Malo,https://www.booking.com/hotel/fr/chateau-du-colombie.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0","4,4 km du centreNiveau 1 Voyage DurableNiché au cœur d'un parc de 6 hectares à seulement 5 minutes en voiture de la plage, le Château Hôtel Du Colombier, qui date du XVIIIe siècle, allie charme historique et confort moderne",328
Hôtel Le Nouveau Monde,saint malo,"Sillon, Saint-Malo",https://www.booking.com/hotel/fr/ha-tel-le-nouveau-monde.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,9","1,1 km du centreFront de merNiveau 1 Voyage DurableL'Hôtel Le Nouveau Monde est situé en bord de mer, à 5 minutes à pied du centre historique de Saint-Malo et à 950 mètres du port de plaisance",759
Golden Tulip Saint Malo– Le Grand Bé,saint malo,"Intra muros, Saint-Malo",https://www.booking.com/hotel/fr/golden-tulip-saint-malo.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from=searchresults#hotelTmpl,"8,7","100 m du centrePlage à proximitéÀ 100 m de la plageLe Golden Tulip Saint Malo– Le Grand Bé est situé au sein des remparts de Saint-Malo, à 5 minutes à pied du port",1 848
Les Charmettes,saint malo,"Sillon, Saint-Malo",https://www.booking.com/hotel/fr/les-charmettes.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7","2,4 km du centreFront de merNiveau 1 Voyage DurableInstallé sur le front de mer dans la ville bretonne de Saint-Malo, l'hôtel Les Charmettes bénéficie d'un accès direct à la plage",1 008
Manoir Du Cunningham,saint malo,"La Cité, Saint-Malo",https://www.booking.com/hotel/fr/manoir-du-cunningham.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,7","1,5 km du centreFront de merNiveau 2 Voyage DurableLe Manoir Du Cunningham datant du XVIIe siècle est situé sur le front de mer, à seulement 10 minutes à pied de la vieille ville de Saint-Malo",472
Grand Hôtel Des Thermes,saint malo,"Sillon, Saint-Malo",https://www.booking.com/hotel/fr/desthermessaintmalo.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from=searchresults#hotelTmpl,"8,2","2,1 km du centreFront de merSitué en bord de mer, le Grand Hôtel Des Thermes est un établissement de style Belle Époque doté d'un spa et d'une piscine intérieure",558
Hôtel Ar Iniz,saint malo,"Paramé, Saint-Malo",https://www.booking.com/hotel/fr/ar-iniz.fr.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9056548%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&nflt=ht_id%3D204%3Breview_score%3D90%3Breview_score%3D80&srpvid=6c566a77fb3c0273&srepoch=1688224112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6","2,8 km du centreFront de merNiveau 2 Voyage DurableL'établissement de style moderne Hôtel Ar Iniz propose un accès direct à la plage de Sillon, un restaurant régional, un bar et une terrasse avec vue sur la mer, à 1,5 km du centre-ville",1 158
