checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,problematic_delay,checkout_status
mobile,canceled,0.0,,,False,on time
mobile,ended,-81.0,,,False,on time
connect,ended,70.0,,,False,Delay ≥ 60
connect,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-203.0,,,False,on time
connect,ended,-15.0,563782.0,570.0,True,on time
mobile,ended,-44.0,,,False,on time
mobile,canceled,0.0,,,False,on time
connect,ended,23.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
connect,canceled,0.0,,,False,on time
mobile,ended,214.0,,,False,Delay ≥ 60
mobile,ended,15.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
connect,ended,-81.0,,,False,on time
mobile,ended,-156.0,,,False,on time
mobile,ended,66.0,,,False,Delay ≥ 60
mobile,ended,215.0,,,False,Delay ≥ 60
mobile,ended,58.0,545639.0,420.0,True,10 ≤ Delay < 60 mins
connect,ended,-159.0,,,False,on time
mobile,ended,-16.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,0.0,537298.0,0.0,False,on time
mobile,ended,-29.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-251.0,,,False,on time
mobile,ended,35.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,0.0,,,False,on time
mobile,ended,-345.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-26.0,,,False,on time
mobile,ended,0.0,510607.0,60.0,True,on time
mobile,ended,22.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-15.0,,,False,on time
connect,ended,52.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-2.0,,,False,on time
connect,ended,-1.0,,,False,on time
connect,ended,-76.0,557404.0,330.0,True,on time
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,15.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,0.0,,,False,on time
mobile,ended,-68.0,,,False,on time
mobile,ended,-340.0,,,False,on time
mobile,ended,130.0,,,False,Delay ≥ 60
mobile,ended,29.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-4.0,,,False,on time
mobile,ended,-160.0,,,False,on time
mobile,ended,-30.0,,,False,on time
mobile,ended,-47.0,,,False,on time
connect,ended,-63.0,,,False,on time
mobile,ended,-148.0,,,False,on time
mobile,ended,44.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-98.0,,,False,on time
mobile,ended,-33.0,,,False,on time
mobile,ended,-340.0,,,False,on time
connect,ended,-167.0,,,False,on time
mobile,ended,31.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
connect,ended,-6.0,556563.0,630.0,True,on time
mobile,ended,79.0,,,False,Delay ≥ 60
mobile,ended,0.0,,,False,on time
mobile,ended,30.0,,,False,10 ≤ Delay < 60 mins
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,33.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-52.0,,,False,on time
mobile,ended,44.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-576.0,,,False,on time
mobile,ended,-7.0,531158.0,90.0,True,on time
mobile,canceled,0.0,,,False,on time
connect,ended,-178.0,,,False,on time
connect,ended,37.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,24.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,40.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,137.0,,,False,Delay ≥ 60
mobile,ended,249.0,,,False,Delay ≥ 60
mobile,ended,23.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-108.0,,,False,on time
mobile,ended,-6.0,,,False,on time
mobile,ended,-150.0,,,False,on time
mobile,ended,9.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,68.0,535512.0,300.0,True,Delay ≥ 60
connect,ended,38.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,-1.0,,,False,on time
mobile,ended,74.0,524703.0,60.0,False,Delay ≥ 60
mobile,ended,-10.0,,,False,on time
mobile,ended,-843.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,780.0,,,False,Delay ≥ 60
connect,ended,-130.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,271.0,,,False,Delay ≥ 60
mobile,ended,-12.0,,,False,on time
mobile,ended,933.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,canceled,0.0,,,False,on time
mobile,ended,-125.0,,,False,on time
mobile,ended,-96.0,,,False,on time
mobile,ended,205.0,,,False,Delay ≥ 60
mobile,canceled,0.0,,,False,on time
mobile,ended,18.0,539005.0,0.0,False,10 ≤ Delay < 60 mins
mobile,ended,48.0,,,False,10 ≤ Delay < 60 mins
mobile,ended,266.0,,,False,Delay ≥ 60
mobile,ended,36.0,,,False,10 ≤ Delay < 60 mins
connect,canceled,0.0,,,False,on time
mobile,ended,-35.0,,,False,on time
mobile,ended,80.0,,,False,Delay ≥ 60
mobile,ended,-24.0,,,False,on time
mobile,ended,-129.0,,,False,on time
connect,ended,2.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-37.0,,,False,on time
mobile,ended,8.0,,,False,1 ≤ Delay < 10 mins
mobile,ended,-155.0,,,False,on time
mobile,ended,134.0,,,False,Delay ≥ 60
mobile,ended,-15.0,,,False,on time
mobile,ended,13.0,,,False,10 ≤ Delay < 60 mins
connect,ended,-348.0,,,False,on time
